id,value
10851794296,39
10852005295,4
10852272019,96
10852626216,46
10852626219,57
10852626221,83
10853056081,45
10853056082,50
10853116560,27
10857431674,5
10859666075,24
10863288671,62
21690890051,49
21692014310,98
21692944013,49
32536040842,99
32536040844,49
32537187213,18
32537711959,91
32537719133,93
32537719148,48
32537830588,80
32538675809,34
32539462289,57
32539462290,64
32539607723,74
32541895695,84
32541895697,30
32536133234,50
32537517760,56
32537187149,35
32537517763,27
32541779473,46
32542045218,24
32536405882,4
32539648713,9
32541340076,99
32540747575,59
32540909899,25
32537726915,47
32536287715,59
21703001389,11
32538376608,1
32540921065,28
21695452066,94
32536149960,33
32536149962,80
32536386207,34
32536416216,86
32536416217,12
32536416219,59
32536416220,77
32536416221,26
32536481011,36
32537662592,89
32537719130,9
32537719132,50
32538376298,31
32538376340,74
32538581324,20
32538581327,15
32538581331,52
32538581493,72
32539162757,54
32539844745,74
32540595214,56
32540595218,100
32540595290,92
32540596497,6
32540910842,15
32541453539,75
32541574924,63
32542217244,96
65081512219,90
65081607876,46
65081607902,83
65081907201,32
65085740343,100
65085740344,55
65086428511,1
65086428521,15
65086878960,35
75917235990,58
54226494398,44
65080274017,76
32538540571,30
32538749877,84
32538377074,71
43389577161,42
32541779472,79
10854597909,15
32536127609,15
32541259875,65
32538749881,5
65082857885,37
65082857886,61
32536133221,96
32538862844,15
32536133226,16
32536133223,68
32537517756,87
10850831495,59
32536017360,27
11213435,19
32540747589,37
11213434,98
13186793,58
32538678992,29
32538847475,29
32537663170,93
32538511354,24
32536071035,75
32536143239,58
32540806352,19
43389577171,6
32538678989,95
32538678986,50
32539759504,44
5973670,48
32540718606,14
32537517712,62
10858883969,46
15306635,23
10845752919,80
10847233158,53
10852626517,84
10859933757,38
43391845412,63
10848790820,96
10846899837,60
18056184,4
10852275592,56
32540747592,29
32539469174,70
32536412783,44
43389577159,50
32536356882,22
32538581668,96
32538377091,33
32538560939,63
32541404393,61
32538847625,75
32538531143,61
32540799139,46
32541339390,47
32537912777,61
32536017348,60
10862870862,4
10862877343,36
21692111294,73
21693837151,46
21695451588,98
21698202327,43
21698609440,87
21698609441,61
21699945095,59
21699945250,87
32536238299,69
32536238300,53
32537537815,14
32537537816,18
32537537817,39
32539758566,29
32541758953,79
32541758958,69
32541758960,90
43389177634,94
43389577355,60
75933689994,34
32535965607,99
10859968756,18
10856805779,44
32537720560,51
32536010772,76
32539461511,6
32540860537,81
32541887986,84
32541887991,78
32541887995,29
32537657545,90
32535965614,50
32539469257,38
32536034033,77
32536224348,47
32536230642,52
32536356880,46
32539469172,7
32539469173,48
32539670246,68
32541794620,72
32541806454,72
32541823985,95
43394021742,40
32540909821,61
32536356876,1
32536356874,48
32537720562,4
21692014192,50
10863288022,60
21690889971,19
10863288011,32
21691315652,53
11447652,94
32540011293,81
32538368990,23
43397650254,26
32537720576,20
32537657563,26
32537720578,21
32542073667,94
32540909829,9
32535965639,12
8969641,46
21693931627,21
21699635077,86
21699945411,52
32535965632,27
32535965636,48
32536287580,47
32536356901,1
32536356904,67
32536356908,81
32536356910,72
32536356923,18
32536356926,71
32536356933,90
32536356937,22
32536356942,78
32536356943,7
32536356957,23
32536356962,62
32537657553,70
32537657555,3
32537657557,40
32537720574,83
32537755919,55
32538531147,90
32538840380,11
32539469177,70
32539469178,19
32539469179,80
32539469180,46
32539469181,50
32539469271,95
32539469273,60
32540799142,27
32541279730,8
32541794625,95
32541794631,48
32541794634,14
32539469274,95
32539469269,60
32537720572,13
10863281054,25
32540909826,13
32541487714,61
32539162779,75
32537657551,71
32538749857,59
32537657559,17
10856585133,90
10854806302,93
10856584524,12
32539469280,69
5973786,42
5973784,5
4815985,78
10846953204,58
10848784006,55
10850605313,53
21695531229,38
21698202398,38
21698202399,81
21698202400,19
21699945057,39
21699945058,76
21699945059,70
32536112305,70
32541595939,29
159319,97
2320962,29
2320960,98
32536287707,36
32538749852,7
32538749849,20
11213550,70
2166635,60
159318,21
159320,22
10848926011,70
6808110,50
32536042346,8
32536357015,72
21698609617,59
32536357018,94
32535965700,51
32535965688,59
32539469184,5
32536357021,97
32538680270,56
32537720586,53
254101,14
32536357024,59
2561668,72
32541595946,9
32539469284,6
21692014242,19
32539469185,79
32541794648,87
32536357029,89
32537720580,81
32536356968,1
32536356973,32
32536356976,58
32536356979,95
32536356998,45
32536357006,29
32536357010,35
32537657561,31
32538531041,100
32538531047,57
32538531053,49
32538840384,23
32539469182,78
32539469183,84
32541029399,56
32541575620,67
32541794637,14
32541794640,7
32541794643,92
11213480,70
13186987,88
32536416919,100
32536028050,32
32536028047,77
32541794652,13
32539469282,95
10857817644,89
15643391,17
32539469188,9
10856916294,69
32539469187,78
32537610627,54
10852005270,68
21698609725,15
32535957588,39
32536238302,32
32537537819,98
32537537820,79
32537537821,35
32539483762,66
32539483763,10
32539758516,1
32539758517,64
32541758975,49
32541758979,43
32541902152,95
32537720590,5
32535965707,90
32539469288,38
32539469286,37
32537610629,9
32535965704,42
32539469290,75
254021,81
32535965655,68
5186540,29
10851109197,75
43393305277,31
32539469276,49
32537720582,17
10856584489,77
32535965681,62
10854769736,53
32536127139,42
32535965631,2
32540861950,93
32540861953,91
32541259865,60
43393305188,46
10851109168,2
32535965671,52
32539469278,29
10862982224,5
21695451680,76
32540909832,81
43393370700,18
10852275645,47
32537720584,67
32538680267,90
32535965678,78
54226494319,16
21695948593,79
17126555,25
10862870299,4
10862870304,67
10862870310,57
21691421545,96
21692111243,59
21693837046,41
32536238301,6
32537537818,99
32539483761,39
32539869022,50
32540612305,58
32541758964,40
32541758971,2
32536287686,4
32540909823,34
32536042377,11
32539469175,86
32536356885,74
32538847641,46
43388014918,25
43394021746,24
32538847620,39
32536356889,51
32541279728,25
32536356857,37
10856916157,20
32536425628,25
32536425631,53
32537610625,82
32539469265,24
32541259866,44
21695452038,80
32539469267,50
10846953099,5
32538680264,96
32536104008,100
32537657535,46
32538581665,34
32538847616,62
32538847612,46
32540799136,58
32539469259,17
32539469261,93
32536356869,81
32537657543,50
32537657541,47
32536356866,76
21692014183,4
32539469263,86
10859816218,55
21690889970,17
21690889972,69
32536416917,48
32535965620,50
32535965622,15
10859822425,52
32539897295,55
32541279726,63
32540932070,64
10849034770,21
32539469171,87
32536356863,8
10846953975,57
10848790342,67
10856805437,58
10856805717,17
32536286402,35
32536412786,12
32538847628,70
32538847630,6
32538847634,88
32538847639,69
32540920630,37
32539637168,95
32537657539,54
32536356860,74
32539469170,74
32539469169,75
32537657537,70
32540932067,76
32541794616,94
11213485,50
32537720568,50
32537720566,18
32541969236,58
32539469231,61
32540861962,81
32540861960,45
32536287705,16
32541595937,62
32540861959,75
32538749846,56
32538749843,44
32540861956,93
32536287691,9
32538540570,33
32535965628,98
32537720570,31
21695451845,58
10855028760,60
32535965625,90
21698609910,62
32536017234,22
32540821801,33
32537517670,92
10847242178,45
32540909028,21
32536027203,36
32536141098,78
13186825,32
32536026758,44
32536027219,47
32539461720,22
32537649898,40
32539648664,6
32537517663,93
32539648663,70
32539648662,21
32540108761,2
18056761,32
32541721825,30
32536017179,19
32537517661,94
10856799915,26
32535965572,22
32537720546,26
32539461718,40
32539461717,8
32539461719,60
32536017228,19
32536017215,8
32540739863,56
32540739860,60
32537649900,4
32539461721,96
32537517668,19
32537517667,79
32540739857,26
32537517664,32
32536017185,90
32536017192,42
32536017194,10
32537162394,98
32539461716,94
32536027201,4
32537517665,77
10850945613,93
10846953931,96
32536141095,82
32536141090,53
32539648665,25
32536293560,37
32540595896,79
21691316439,13
32540862196,82
13186805,9
10846812459,89
10846953496,40
10849035041,40
10852275848,53
10856799732,15
10859888929,61
32536040834,17
10860070290,96
32536071038,58
10856805849,2
32541575662,91
10849034878,84
14930388,9
32536070995,61
10856584627,70
3854606,72
21692138772,19
10863288857,26
32536035832,20
21697758348,10
43389221953,66
43391010440,68
43392307347,7
43393370554,27
43393370555,19
14930392,43
10846092587,60
10852911104,48
10859320842,33
10861743562,87
10861785796,23
10863288863,12
10863288866,10
21693096965,37
32536178606,82
32536224408,44
32539766746,93
43389577173,37
32541611738,66
10859665709,95
10859665710,49
32536017351,83
32536017353,23
32537517708,46
32537517710,78
32538531247,39
32539648689,79
32541779448,74
32539759506,45
14930393,24
18056182,32
10845752917,1
10845752918,19
21699945383,73
32537162426,9
32539649610,27
43391778929,6
32540822126,44
21690638591,86
10856805557,13
65081608016,9
65081865546,58
65082126372,55
65082126373,26
65086068492,79
17751203,8
32542045293,74
32541888981,69
32539591745,89
21690889986,48
43389221691,67
43391010439,38
43391012243,69
43393282323,58
13354982,59
17126734,91
10849041098,41
10850945792,38
10852489973,3
32538674995,2
32541924032,84
32536141350,98
32536070806,51
32537809104,95
32537663108,75
32536070812,39
10856916308,14
10854702740,46
32541779433,66
32541779430,8
21699945420,65
21708631144,64
32536394283,43
32536394307,51
32537537665,18
32537670116,94
32539663959,72
32540806305,65
32541029547,43
32541029550,58
32541885046,95
32537537664,49
32540472760,69
75931869656,65
75931915526,31
75931982614,61
75932566689,48
75932566691,6
75932750217,88
75933345972,71
75933968442,46
32537720564,64
32539648682,93
7678698,46
16784293,85
32536237592,86
32536237593,97
32536237594,52
32537735032,15
32537735033,39
32537735034,38
32539478069,45
32541618543,99
10860108056,61
32538680261,87
10849041078,60
21690979192,32
10862981332,17
32541779442,22
5760523,10
32540718603,34
32541779440,34
10854806035,60
32536026909,25
32536416899,96
21699945288,71
32536416905,64
32538680258,22
32536416914,84
21697953918,42
21692178658,67
32541638368,58
10850831390,70
32536416909,83
21700302381,10
21695338997,46
10857817608,51
4377267,97
32541811313,62
32541779436,13
10855027788,29
32537187147,79
32540798191,30
32539648684,3
32538678979,95
32537517701,63
32536017322,39
32538678982,32
43389221924,99
43389221925,72
43391010406,28
43391687016,20
43393370538,44
43393370539,93
32536017341,64
32537517703,74
13186847,99
32539648683,44
32538678983,72
32536017327,59
11447823,92
32540860576,90
32541722214,12
32536150269,27
21698609661,100
32537537839,30
32537537840,74
32539614481,52
32541759048,16
32541759053,72
43395382818,59
43395382852,49
54227166822,64
54227174363,3
54227174365,87
54227264697,76
54227609137,74
32537162446,25
43389221921,90
43391009987,80
43391010399,30
43391010400,67
43392232575,78
43393370531,60
43393370532,77
43393945874,3
32540798188,33
43395189230,29
43395757061,43
43396118296,15
54226494281,14
32540472767,1
65084926549,41
65086429810,99
75931584467,14
75931584504,34
75931584510,68
75932566687,91
75932756464,62
32539758841,26
18198269,64
10853470480,86
32536222887,4
32537532527,36
32537830143,18
32541746599,80
43387868568,86
16784284,38
43387839272,85
6808088,18
6808089,99
32541931154,16
32536417132,94
32538687541,11
32536417140,4
32538540498,26
32541462132,20
32539774557,34
32540718954,62
75931645948,98
75931646474,14
75931824755,38
75931826175,18
75931833936,30
75931834130,74
75932002962,2
75932609216,3
75932841812,12
75932855082,77
75932856219,49
75933824015,56
75934035409,85
10860147662,87
17751205,91
10846092575,87
65082782420,53
65085888576,98
65086068372,5
65086878900,65
75917061807,95
32539766740,59
32537649880,78
32536141031,96
32539461707,10
32536141043,100
32536405861,16
32538505069,61
32537912802,1
10846953842,52
10852281805,11
21693102948,76
32540739852,31
32536026757,51
75931956230,2
75932145503,16
75932150041,49
75932841809,77
75932855276,78
75932855644,63
75932856627,42
75932886429,89
75933307932,100
75933376093,33
75933530541,79
75933541499,7
75934016682,77
75934048702,40
32536425875,67
32535965611,64
21695338996,15
32541339396,62
75931906406,74
3854642,80
32539469255,75
21700892167,3
32541779438,82
16463213,91
32537610604,19
32536055447,30
32539469229,49
32535965568,71
32537720544,87
32538680253,13
32541595916,8
32536055445,4
32536055444,53
32536224336,98
32536142539,82
10854799791,58
32539469227,36
32541611696,68
32539469225,55
10855034690,40
32540806119,86
32538580623,85
43395907573,90
32536016677,14
32540903925,65
10854929071,31
32537831116,31
10856585125,2
32538668404,32
32539615130,94
32539461708,24
32536238972,85
32536238975,9
32537831117,89
10845752910,1
32538531139,79
32539615061,34
32540747349,44
32541138984,29
32541818393,50
32540747351,51
32541595919,26
18654827,62
32536748529,17
32541721820,57
32539469233,3
32540909818,89
32540740539,63
32539758872,23
32537817162,47
32539758873,48
32541273996,76
32536017202,60
18197860,52
21695338985,60
32536416898,33
32536326193,17
32536748528,81
43394021740,14
2414378,17
32536127138,33
32537720542,47
21695338831,52
10855034677,88
10855034738,31
32540909815,38
21690638594,32
32536126882,90
32536141074,24
32536141078,46
32536141081,29
32536238989,17
32537649894,52
32537649895,15
32537649896,13
32537817161,37
32539461714,75
32539461715,24
32539615133,13
32539758869,10
32539758870,57
32539758871,70
32541722225,39
32541818396,24
32541818400,69
32541902620,96
32542217282,39
43391845399,21
10848790687,81
10863414485,11
21692138853,56
10863414482,56
10856584890,43
21690665251,4
21695451789,80
32541029375,25
32538635422,91
10863414496,58
10863414506,88
21692178692,44
32536402108,1
32536402110,60
32536402118,30
32535965562,59
10854695303,53
32539469223,86
32537720538,43
32539615083,46
32536238976,73
32537720540,44
21699945406,48
32536016681,49
32537649312,87
32541137904,60
32539461468,35
32541887877,75
32540903922,73
32538580619,84
32536027196,65
10855028782,77
10852852232,55
32536230571,7
32536230616,50
32536230617,50
32536230618,49
32537532668,89
32537532669,22
32538846911,32
32539760703,8
32541753245,99
32541753248,19
32541722211,57
32536141033,51
32538505072,4
43395189260,99
10847241926,51
32537649882,7
32536238482,33
21690665237,79
32536126803,19
32537649311,49
10854799636,96
10859816215,34
32536238969,51
32536238971,76
10863286559,33
32536487197,30
32537649313,98
32539162703,72
32539766739,10
32540762798,60
32537649310,92
984086,73
10853116519,19
21697758232,39
21698609656,88
32536238298,49
32536238367,40
32536238368,100
32536238369,42
32537537814,67
32537537843,7
32537537844,21
32539614482,66
32541759055,83
21708072292,7
75931584522,98
75931588376,15
75931869655,60
75932406042,38
75932406044,14
75933300150,7
75933520817,92
32536016692,46
32539636978,78
32541887870,15
32537517659,10
32538678961,57
32539636982,32
32536055221,86
32538840520,76
32541794498,32
32536656271,59
32536656281,12
32536656282,26
32538846871,73
32538846876,52
32538846879,11
32538846882,16
32540919989,4
32540919992,67
32540919995,6
32540919998,38
32540920001,95
32540920005,72
43394021737,80
32540981048,3
32540916689,72
32536656280,23
32538846867,93
3854631,80
32536055203,11
32536055208,49
32536055200,45
32541794489,57
32537817082,5
32536294474,98
10851109207,9
10863159017,32
10856584888,43
10862974391,5
32536238985,11
32537831118,88
32539461465,40
13186858,62
32536238481,28
32539461466,97
32536016699,22
43395373001,53
43395383105,30
43397457334,93
54227255719,63
54227255721,72
54227528736,47
54228311852,25
32539461467,49
32537649308,92
32536238982,60
32539615105,14
32541029373,49
32539758842,70
32536055329,57
21695451904,8
32537817121,38
32541794531,58
32537817123,84
10856584538,78
10848925814,61
32536055322,92
75932566632,26
32537817084,99
10850945944,56
10859968670,44
32539758818,20
32539637140,15
10860147159,45
65080274019,7
32538678958,1
75931643227,27
75931643240,10
75931643266,23
75931643289,76
75931643406,11
75931646234,76
75931646238,36
75931646241,26
75931646392,35
75931646398,49
75931646466,28
75931824750,18
75931824764,38
75931826151,38
75931826172,19
75931956367,39
75931956405,35
75931956406,69
75932002956,80
75932002961,50
75932003008,94
75932003009,38
75932003010,31
75932030627,73
75932030646,66
75932030647,53
75932030650,76
75932030651,47
75932030652,9
75932030653,94
75932030654,71
75932030657,95
75932030658,8
75932030659,68
75932031039,64
75932031040,67
75932031041,29
75932140590,55
75932140768,63
75932140773,48
75932145462,75
75932145468,18
75932145471,63
75932145477,42
75932145486,70
75932145494,21
75932150037,52
75932261574,81
75932608894,5
75932608895,22
75932609215,34
75932841471,27
75932841476,3
75932841480,83
75932841484,84
75932841487,82
75932841491,99
75932854433,45
75932854436,78
75932854441,51
75932855065,25
75932855079,15
75932856263,98
75932856266,52
75932856269,94
75932856623,31
75932862287,23
75932862306,5
75932862315,7
75932862320,60
75932862324,69
75932863125,81
75932863128,75
75932886389,2
75932886393,56
75932886401,53
75932886422,47
75932886425,10
75933225182,87
75933225185,20
75933293585,43
75933293614,11
75933293649,65
75933293655,64
75933293656,48
75933376129,75
75933376132,57
75933389372,45
75933426117,1
75933426118,85
75933520920,25
75933520932,81
75933520934,7
75933520936,77
75933532704,49
75933532705,79
75933532706,43
75933532709,86
75933532710,56
75933532711,93
75933532712,96
75933541193,20
75933541204,44
75933652271,7
75933675590,31
75933675591,65
75933676135,96
75933676136,78
75933685076,51
75933999822,30
75933999823,46
75934000003,89
75934000007,6
75934000008,8
75934011163,3
75934011164,9
75934011167,18
75934011181,58
75934011190,65
75934015831,75
75934016551,79
75934035408,81
75934036448,68
75934038994,66
32537657567,5
32536028039,85
32536028044,76
32537720588,69
32536416923,82
32541595949,34
10848783831,95
21692572830,88
10856687973,55
32539469251,84
32538530998,27
32541779408,93
32541776439,77
32536239071,18
32541823950,91
32537517687,51
32539615182,32
32541823955,21
1712358,39
32540718600,50
43395196849,62
32537720558,21
32537720556,62
10856799766,66
32537517689,79
32535965602,2
32536017272,26
10848784093,94
15906075,22
32537831140,33
32536402606,26
32536239074,29
32535965596,7
32539469249,95
32535965587,27
32539670191,40
32536239077,96
32537817171,90
32536055471,63
32541902637,63
32536055479,97
32537817173,88
32539469253,20
32541779411,90
32539462680,83
32539462679,66
32537817169,77
32539462678,42
32539648676,56
32539648677,63
32539648678,81
32536055492,46
21695691960,93
21695692073,2
21695948552,54
21698609639,78
21698609658,34
21698609659,83
21698609660,84
21700799039,41
32536132967,9
32536132973,96
32536287086,12
32536287087,24
32536287088,2
32536287092,51
32536319964,68
32536319965,7
32537808739,43
32537808740,1
32537808742,94
32537912771,8
32538668277,58
32538846914,56
32538846917,17
32538846929,61
32539591662,76
32539591663,86
32540719605,55
32540719608,6
32540719613,82
32540981069,33
32541397595,27
32541462353,83
32541779402,19
32541888037,76
32541888040,27
32541888043,36
43393202157,96
10856688167,2
32541902623,46
32539758874,10
32537817164,48
32539462677,68
32537162380,78
32536017275,3
32538678970,69
32535965578,57
32541902630,34
10856799889,66
32537817167,95
10854702654,85
32541595922,94
32541595930,46
10863281128,83
10850999555,19
10854366455,61
10859933863,21
32535965604,83
32536487200,23
32539469247,49
32541595928,63
32535965583,61
32539469241,82
32541595925,37
32537720554,33
32539469245,53
32535965581,98
10856585082,36
32536286154,9
32536055465,1
32536055454,10
17126169,60
18197923,11
18197922,32
10852275511,100
32537817166,91
16935302,3
43389221923,85
43389577406,62
43390852537,8
43391010402,23
43391010403,2
43391010404,6
43391010405,16
43393370533,85
43393370534,53
43393370535,65
43393370536,26
43393370537,21
75933981414,5
11213654,21
11213657,92
13186916,98
16455542,57
16784292,38
10846812630,67
10846936263,65
10847672289,81
10848679116,39
10848748177,34
10848903863,6
10849013835,33
10854552283,71
10854591495,5
10854591496,55
10854591497,20
10857431848,38
10857431849,28
10859939755,62
21691806598,64
21695338794,80
21695338797,21
21695339163,24
21695339164,83
21695339165,64
21697758487,64
21697758488,79
21697758489,22
21697954036,6
21697954037,25
21697954038,37
21699635079,14
21699635080,68
21699635295,36
21700302476,85
32540168137,100
32542105665,35
10860069664,77
10863281110,98
32537720551,58
10845688841,84
21691806596,84
32539469243,57
32541721796,84
10848748224,48
10854591633,11
32537670114,66
32537670115,49
32538846926,81
32541612511,1
32539707800,57
32537517672,21
21691806677,28
10856805386,74
32539648675,31
32541721849,39
21690889969,15
10863128690,25
10863128679,34
32537517683,88
32537517682,81
32541721842,42
32541721841,98
32537517681,72
32536017255,71
8841310,90
32541721839,45
32536017251,60
32537517678,64
32539648674,75
32538678967,83
43389177395,41
10863128721,70
32536017267,9
32536017265,18
32536244579,31
10856687889,11
10851109205,5
32536026780,17
32537517685,68
10863128684,73
10863128716,4
21691735096,68
32539648668,54
32539648672,91
32541721837,93
32540739868,11
32538678964,94
32541721830,16
32536017242,19
32536017245,19
32540739865,84
32540719953,74
32538676204,89
32536657392,37
18968840,77
10848784287,63
43392232544,75
32540739854,15
32540719956,42
10863408344,55
32540719959,74
32538422187,9
10854929073,39
32541721792,41
32539648666,48
10848712746,11
32537912775,43
43390941661,69
10854798763,79
10859968427,91
32539648667,95
21690665106,11
7678999,83
10855028043,67
32540719962,60
32536657399,18
32542217261,5
32541721835,55
32536126832,61
10860148177,92
32538676207,81
32538676210,18
32536017209,99
32536657413,64
32540719971,88
32540719969,57
32540719966,37
32536657410,18
32536657406,14
32538676215,57
32536657404,17
32541259834,76
32539670193,88
32541823958,26
6558158,90
32536244583,26
10856584715,57
32539648673,73
32541721846,13
32539670199,36
32536822337,87
32539670195,65
32537831141,99
10851109220,88
21698616248,40
32539707802,35
32536244597,69
32536244594,31
32539670197,36
32537831142,15
10849435158,31
32537517674,30
10854695514,65
32541595934,96
10856585086,17
32537470394,92
10849435234,78
32536244591,39
7678691,63
32537610602,8
32537817114,41
32539758854,79
10854798843,66
32539758853,65
32536141015,37
32538668400,9
32538505061,66
10856916789,50
32536017249,19
32539648670,47
32541721833,11
32537517676,9
32539648671,61
32541721834,25
10856916806,13
32539648669,51
32536141001,48
21703784447,97
43397640495,7
32536140967,69
32541722170,38
32537649851,80
32539461693,87
32539461694,98
14930284,70
10854805821,99
32541776316,89
32539461700,63
32539162681,47
32539649803,57
32537649860,93
32536141009,79
32536141004,32
32541788377,88
10856805699,58
32537524424,79
10851109166,95
32536170193,32
10856585004,98
32537817143,62
21699635129,89
6558193,86
32536140972,65
10854929694,80
10856805514,60
43389177394,99
32541902566,67
32540740527,88
32536142517,5
32538581457,88
32537524432,84
32540740542,55
32541794126,43
32539649806,60
32541779420,47
32537517696,92
32536017295,97
32540739870,70
32536026838,24
32539648680,66
32537517694,89
32536017291,32
32537649874,35
32539461706,43
32539461705,74
32537649872,71
10851158891,45
32541902627,77
6807970,43
16463211,71
10846092574,30
10845688842,94
15019048,60
32536055450,84
16935306,70
32541589372,70
32537649864,35
10856585173,18
32541902590,41
32541902587,47
32537649871,5
32537649867,44
32537817159,2
32539758866,84
32536027663,33
32536048967,8
43397531028,24
32541589379,99
10856805607,28
32539758865,94
32539758864,7
32537817147,21
32536055424,90
32541902591,4
32536142520,41
32537817149,13
32537817157,42
32536142532,90
32541902604,90
32536142527,21
10845752894,65
32537187157,41
21695691917,93
32536103299,38
32539607234,52
32539607235,38
32541810359,12
32541810364,92
43387868570,27
32538847143,5
32536287216,57
32538588544,67
10860147505,34
32538847151,11
32537649878,98
32541722197,40
32536040369,46
32536040373,62
32536150274,20
32536178848,95
32536223826,29
32536224326,76
32536224332,43
32536386189,50
32536386193,26
32537532528,29
32537656213,1
32537656215,47
32537830374,14
32537830375,13
32539263132,17
32539663396,2
32539663397,60
32539715711,45
32540108792,13
32541611519,59
32541752403,32
32541752408,29
32541787104,31
32541810591,27
32541810594,88
32541810599,81
32542105660,82
43389577181,42
10859968764,93
32541902607,91
32536287220,100
32538847155,36
32540861634,99
32536055435,10
32536055434,40
32535970381,63
32539758867,76
21697953476,26
32540861637,23
32536287224,76
32540861640,6
21695338836,5
65082857750,69
65084818194,24
65085474538,3
65085474545,64
65085592310,82
65086429687,98
65086429713,76
65086429714,54
65086429715,34
75917508230,21
75931906403,54
21697953475,30
32536027194,96
32541902594,45
15137735,19
17126540,7
17126541,61
10852535415,13
10853301478,49
10854591614,1
10858582163,16
10858582164,83
10859484396,41
10859509243,84
10859752046,31
21697954035,38
32536178395,16
32539663526,86
32540596770,22
32541918455,44
10848790334,20
32541273992,19
32539758860,100
32538368923,45
32540740530,20
32540932032,1
32538505065,72
32536126878,47
75931834131,80
75931834143,16
75931956046,74
75931956047,42
75931956368,25
75931956369,39
75931956407,13
75931956408,28
75932002925,47
75932002963,41
75932140383,83
75932145508,73
75932145516,4
75932145529,64
75932150046,46
75932150050,75
75932609217,26
75932841829,78
75932841832,49
75932841836,72
75932841910,41
75932841919,75
75932855089,11
75932855092,67
75932855257,29
75932855290,21
75932855398,31
75932855402,60
75932855651,60
75932855654,16
75932855719,34
75932855723,56
75932856632,41
75932856636,80
75932863132,97
75932863195,84
75932863197,96
75932863200,37
75932863203,56
75932886999,38
75932887001,16
75932887007,23
75933225177,56
75933293582,13
75933293583,95
75933293584,24
75933293671,19
75933307933,10
75933376133,17
75933376134,87
75933378126,46
75933378649,31
75933426413,91
75933433625,57
75933434832,3
75933530544,100
75933530545,64
75933540769,22
75933541196,72
75933652251,12
75933652256,6
75933652265,63
75933652286,20
75933675592,23
75933675593,46
75933676137,56
75933676138,22
75933676139,49
75933676377,80
75933676378,70
75933695524,19
75933695790,96
75933695798,5
75933824023,91
75933981209,19
75933999586,76
75934001594,15
75934011185,82
75934015830,54
75934015832,27
75934015833,10
75934035410,79
75934035411,87
